Date,Term,Value
2013-01-08,14600,0.03358715888651162
2013-01-08,18250,0.03355766061387046
2013-01-09,0,0.006774995640969968
2013-01-09,1,0.006775382373691312
2013-01-09,2,0.006776544122469344
2013-01-09,7,0.0067810549456347406
2013-01-09,14,0.006770234019664985
2013-01-09,30,0.006751134725683289
2013-01-09,61,0.006715012446710804
2013-01-09,91,0.0066856234259148484
2013-01-09,122,0.0066616532769688775
2013-01-09,152,0.006644770295758479
2013-01-09,182,0.006634137909780896
2013-01-09,213,0.006629735844041216
2013-01-09,243,0.006634682566577203
2013-01-09,273,0.006654657601789121
2013-01-09,304,0.006678545106237792
2013-01-09,335,0.00670039389974963
2013-01-09,365,0.006722056606956333
2013-01-09,395,0.006746883665096117
2013-01-09,425,0.006775930348588081
2013-01-09,456,0.0068109832855897025
2013-01-09,486,0.006850220769597508
2013-01-09,516,0.006895017534009306
2013-01-09,547,0.006947418129127521
2013-01-09,577,0.007003954380866407
2013-01-09,607,0.007065130760478385
2013-01-09,638,0.0071320534498286485
2013-01-09,668,0.007199479582603167
2013-01-09,698,0.007268771975845084
2013-01-09,730,0.007344043798532534
2013-01-09,1095,0.008358937385966062
2013-01-09,1460,0.009807868667817183
2013-01-09,1825,0.011563120662396502
2013-01-09,2190,0.013421273978816239
2013-01-09,2555,0.01534146434977977
2013-01-09,2920,0.017261151100122885
2013-01-09,3285,0.01910803962387053
2013-01-09,3650,0.020859091255889476
2013-01-09,4380,0.023758364244686952
2013-01-09,5475,0.026956288184276613
2013-01-09,7300,0.030325810770424337
2013-01-09,9125,0.03203268802194255
2013-01-09,10950,0.03269655813678531
2013-01-09,14600,0.03358715888651162
2013-01-09,18250,0.03355766061387046
2013-01-10,0,0.006591779303639109
2013-01-10,1,0.006591589824314129
2013-01-10,2,0.006591020626791688
2013-01-10,7,0.006585845518211524
2013-01-10,14,0.006599356512381471
2013-01-10,30,0.0066034073777820135
2013-01-10,61,0.006588951049476907
2013-01-10,91,0.006577068563176728
2013-01-10,122,0.006571340574172268
2013-01-10,152,0.006572962767945733
2013-01-10,182,0.0065819052580618044
2013-01-10,213,0.006598958449123762
2013-01-10,243,0.00661866913014355
2013-01-10,273,0.006631995849393714
2013-01-10,304,0.0066597540778510185
2013-01-10,335,0.006692298956293477
2013-01-10,365,0.006741049318677227
2013-01-10,395,0.006790558869952931
2013-01-10,425,0.006838102379673932
2013-01-10,456,0.00688730042745028
2013-01-10,486,0.006936530806397898
2013-01-10,516,0.0069885224840627504
2013-01-10,547,0.007046101874361956
2013-01-10,577,0.007106065043299988
2013-01-10,607,0.007169843297881428
2013-01-10,638,0.007239273315365056
2013-01-10,668,0.007309493670531658
2013-01-10,698,0.007382383710008933
2013-01-10,730,0.007462787821428731
2013-01-10,1095,0.008569919127334943
2013-01-10,1460,0.010057235362974875
2013-01-10,1825,0.011878124614174474
2013-01-10,2190,0.013804407410332776
2013-01-10,2555,0.015851012586641604
2013-01-10,2920,0.017848478459264606
2013-01-10,3285,0.019779102479659593
2013-01-10,3650,0.021547563328514565
2013-01-10,4380,0.024476210465495855
2013-01-10,5475,0.027661142083377492
2013-01-10,7300,0.030928026439035503
2013-01-10,9125,0.032588716120770404
2013-01-10,10950,0.03322562194712849
2013-01-10,14600,0.03403509334435852
2013-01-10,18250,0.03384898879160038
2013-01-11,0,0.006644844436334385
2013-01-11,1,0.006644664943409292
2013-01-11,2,0.00664412574959745
2013-01-11,7,0.006638754668493297
2013-01-11,14,0.006647619152784067
2013-01-11,30,0.00665310182393854
2013-01-11,61,0.006650392132968368
2013-01-11,91,0.006645387322624259
2013-01-11,122,0.006639823534829204
2013-01-11,152,0.006634450761058118
2013-01-11,182,0.006629218248591893
2013-01-11,213,0.006624016531412122
2013-01-11,243,0.006634145966365584
2013-01-11,273,0.006687881400569807
2013-01-11,304,0.006721323881660949
2013-01-11,335,0.006752815122704211
2013-01-11,365,0.006788271533077671
2013-01-11,395,0.006824603106267071
2013-01-11,425,0.006862368883427504
2013-01-11,456,0.006904499745076955
2013-01-11,486,0.0069494403567019625
2013-01-11,516,0.006999356962005903
2013-01-11,547,0.0070568796548503825
2013-01-11,577,0.007118562792056588
2013-01-11,607,0.007185057689054489
2013-01-11,638,0.0072574689436279045
2013-01-11,668,0.007330050879037692
2013-01-11,698,0.007404225000427731
2013-01-11,730,0.007484289871735983
2013-01-11,1095,0.008546138407218726
2013-01-11,1460,0.010066048849921096
2013-01-11,1825,0.011870529839140206
2013-01-11,2190,0.013780058357243016
2013-01-11,2555,0.015765844234788263
2013-01-11,2920,0.01777538481404394
2013-01-11,3285,0.019628452744889727
2013-01-11,3650,0.021407054290503963
2013-01-11,4380,0.024326885276296537
2013-01-11,5475,0.027526109501987854
2013-01-11,7300,0.03079905171908612
2013-01-11,9125,0.03246848680984502
2013-01-11,10950,0.03310443184258839
2013-01-11,14600,0.03385310198211122
2013-01-11,18250,0.03365466603048376
2013-01-14,0,0.006616470898310533
2013-01-14,1,0.006616029618898708
2013-01-14,2,0.006614704015399914
2013-01-14,7,0.0066127051473093106
2013-01-14,14,0.006621954230939719
2013-01-14,30,0.006626724154433324
2013-01-14,61,0.006624897942002367
2013-01-14,91,0.0066220736580906705
2013-01-14,122,0.006619890749075848
2013-01-14,152,0.006618835353145648
2013-01-14,182,0.006618933561352905
2013-01-14,213,0.006620298459019003
2013-01-14,243,0.00663324072611564
2013-01-14,273,0.00667854736406583
2013-01-14,304,0.00670982604220812
2013-01-14,335,0.006733235461590377
2013-01-14,365,0.006763171854361242
2013-01-14,395,0.0067977209506120215
2013-01-14,425,0.006835274364863274
2013-01-14,456,0.006876955885089784
2013-01-14,486,0.00691987299483827
2013-01-14,516,0.0069651748211411795
2013-01-14,547,0.007014366985825287
2013-01-14,577,0.007064194004511528
2013-01-14,607,0.007116189809432833
2013-01-14,638,0.007172194542609682
2013-01-14,668,0.007228592859273846
2013-01-14,698,0.007287153558152479
2013-01-14,730,0.007352000119966324
2013-01-14,1095,0.008324159745614172
2013-01-14,1460,0.009768727150413693
2013-01-14,1825,0.011507610594463761
2013-01-14,2190,0.013410729927870754
2013-01-14,2555,0.015342178425152031
2013-01-14,2920,0.017322560034186977
2013-01-14,3285,0.019166419397984677
2013-01-14,3650,0.02090656893832399
2013-01-14,4380,0.023808220381891454
2013-01-14,5475,0.0270195299834012
2013-01-14,7300,0.030232871234754335
2013-01-14,9125,0.03186522259293369
2013-01-14,10950,0.032504446393223266
2013-01-14,14600,0.033215546002785847
2013-01-14,18250,0.0330345268826545
2013-01-15,0,0.006623597748254509
2013-01-15,1,0.0066233573330534735
2013-01-15,2,0.006622635127275612
2013-01-15,7,0.006621697038068721
2013-01-15,14,0.006631158485064543
2013-01-15,30,0.006630877692824758
2013-01-15,61,0.006622326407281629
2013-01-15,91,0.006616040426861928
2013-01-15,122,0.006613307796811613
2013-01-15,152,0.006614627332725036
2013-01-15,182,0.006619952225615119
2013-01-15,213,0.006629710139094208
2013-01-15,243,0.006642060781256159
2013-01-15,273,0.006658153842463957
2013-01-15,304,0.0066891429044766085
2013-01-15,335,0.006713894506868344
2013-01-15,365,0.0067449304406666105
2013-01-15,395,0.006777197899499952
2013-01-15,425,0.006809698243018949
2013-01-15,456,0.006845250046611709
2013-01-15,486,0.006882812257639246
2013-01-15,516,0.006924423110535094
2013-01-15,547,0.006972444154740077
2013-01-15,577,0.0070240779667755885
2013-01-15,607,0.007080025630513476
2013-01-15,638,0.007141485407822585
2013-01-15,668,0.007203791034430672
2013-01-15,698,0.00726830864052534
2013-01-15,730,0.007339037294390496
