Date,Term,Value
2013-01-04,698,0.004354659741667615
2013-01-04,730,0.004412239492218735
2013-01-04,1095,0.005391506294667183
2013-01-04,1460,0.006910194740542232
2013-01-04,1825,0.008740262859384498
2013-01-04,2190,0.010699907576757182
2013-01-04,2555,0.012706560465921866
2013-01-04,2920,0.014774282476145012
2013-01-04,3285,0.01670033848412313
2013-01-04,3650,0.018506675491852274
2013-01-04,4380,0.02154202189946067
2013-01-04,5475,0.024983084888791366
2013-01-04,7300,0.02856555174074871
2013-01-04,9125,0.03048791092620305
2013-01-04,10950,0.0313254677511656
2013-01-04,14600,0.032699079196984816
2013-01-04,18250,0.03267866379450428
2013-01-07,0,0.004209462387529103
2013-01-07,1,0.004209387830485885
2013-01-07,2,0.004209163859944457
2013-01-07,7,0.004205804301264926
2013-01-07,14,0.004197167275670781
2013-01-07,30,0.004180966227130149
2013-01-07,61,0.0041632514596134625
2013-01-07,91,0.004140863789009782
2013-01-07,122,0.004119528077229546
2013-01-07,152,0.004095635270916251
2013-01-07,182,0.004071864516812716
2013-01-07,213,0.004060275795721257
2013-01-07,243,0.004042886958939688
2013-01-07,273,0.004024936015853672
2013-01-07,304,0.004013285765920118
2013-01-07,335,0.00400907813762777
2013-01-07,365,0.004011229396266979
2013-01-07,395,0.004018873250912801
2013-01-07,425,0.004031565049736615
2013-01-07,456,0.004049636063526054
2013-01-07,486,0.004071668226795843
2013-01-07,516,0.004097980091910574
2013-01-07,547,0.004129510086654275
2013-01-07,577,0.004164105475848449
2013-01-07,607,0.004202623074252286
2013-01-07,638,0.004246465770096415
2013-01-07,668,0.004292742144496709
2013-01-07,698,0.00434275228719476
2013-01-07,730,0.004400164524943044
2013-01-07,1095,0.0053665637972166525
2013-01-07,1460,0.0068756925581258555
2013-01-07,1825,0.00869755208151466
2013-01-07,2190,0.010598143907416471
2013-01-07,2555,0.01257699808503619
2013-01-07,2920,0.01456630305858244
2013-01-07,3285,0.01647770406770459
2013-01-07,3650,0.01827330991203853
2013-01-07,4380,0.021296201480198614
2013-01-07,5475,0.02463611176448637
2013-01-07,7300,0.028233108504527406
2013-01-07,9125,0.030190452911882947
2013-01-07,10950,0.03102774034208599
2013-01-07,14600,0.03225956162066592
2013-01-07,18250,0.03236824663193812
2013-01-08,0,0.00414288013120441
2013-01-08,1,0.00414279717032622
2013-01-08,2,0.004142547951061355
2013-01-08,7,0.004138809662242156
2013-01-08,14,0.004128754018841769
2013-01-08,30,0.00410380599045566
2013-01-08,61,0.004063592573701603
2013-01-08,91,0.004037167431126638
2013-01-08,122,0.004012900348577174
2013-01-08,152,0.003991419150615407
2013-01-08,182,0.003969470024493848
2013-01-08,213,0.003953613968252669
2013-01-08,243,0.003936987354873817
2013-01-08,273,0.003915760853581048
2013-01-08,304,0.0038991624174626273
2013-01-08,335,0.003886062157301725
2013-01-08,365,0.0038784695029751397
2013-01-08,395,0.0038769781458713745
2013-01-08,425,0.003881047366786179
2013-01-08,456,0.003890420924686399
2013-01-08,486,0.003904004936222168
2013-01-08,516,0.0039216594949867765
2013-01-08,547,0.003943878253190739
2013-01-08,577,0.003968997826589308
2013-01-08,607,0.00399749457871718
2013-01-08,638,0.004030335290467383
2013-01-08,668,0.004065279291392638
2013-01-08,698,0.004103234983818874
2013-01-08,730,0.0041469487588941525
2013-01-08,1095,0.0050048041391194615
2013-01-08,1460,0.006593496592474965
2013-01-08,1825,0.008428381804417337
2013-01-08,2190,0.010361668713959897
2013-01-08,2555,0.012378942382224235
2013-01-08,2920,0.014407373683997653
2013-01-08,3285,0.016307631354390367
2013-01-08,3650,0.018131848523066138
2013-01-08,4380,0.021134316838248953
2013-01-08,5475,0.02445173427019504
2013-01-08,7300,0.02809745843591369
2013-01-08,9125,0.030074321007264593
2013-01-08,10950,0.03096964777062757
2013-01-08,14600,0.032122992305271485
2013-01-08,18250,0.03226289359742655
2013-01-09,0,0.004102571993230471
2013-01-09,1,0.004102515754497474
2013-01-09,2,0.004102346816269312
2013-01-09,7,0.0040998127431822505
2013-01-09,14,0.004093007142503389
2013-01-09,30,0.004076263861663453
2013-01-09,61,0.004044635685389684
2013-01-09,91,0.004015344564370855
2013-01-09,122,0.003994439547985885
2013-01-09,152,0.003958736230239002
2013-01-09,182,0.003929399714315143
2013-01-09,213,0.00390995492340547
2013-01-09,243,0.003890956608350001
2013-01-09,273,0.003867900364473621
2013-01-09,304,0.0038493409926604505
2013-01-09,335,0.0038337902508545187
2013-01-09,365,0.0038216885263937833
2013-01-09,395,0.003817011676675622
2013-01-09,425,0.003819668241840816
2013-01-09,456,0.0038289739855853788
2013-01-09,486,0.003843497414945639
2013-01-09,516,0.0038628224608432448
2013-01-09,547,0.0038873252357082503
2013-01-09,577,0.0039150342516959275
2013-01-09,607,0.003946366741305027
2013-01-09,638,0.0039822888988673135
2013-01-09,668,0.004020276013187277
2013-01-09,698,0.0040612655804308255
2013-01-09,730,0.004108141087878641
2013-01-09,1095,0.004960831126990141
2013-01-09,1460,0.006460571888574834
2013-01-09,1825,0.008252148811656534
2013-01-09,2190,0.010172159502583858
2013-01-09,2555,0.012188890943318889
2013-01-09,2920,0.014205420187287423
2013-01-09,3285,0.01612135832291118
2013-01-09,3650,0.01794441206905004
2013-01-09,4380,0.02094021783350484
2013-01-09,5475,0.024258321302327798
2013-01-09,7300,0.027850247033527585
2013-01-09,9125,0.029785645797645824
2013-01-09,10950,0.0306441824786254
2013-01-09,14600,0.03175426516816944
2013-01-09,18250,0.03184689527928032
2013-01-10,0,0.004073741666899915
2013-01-10,1,0.004073763537605336
